Affiliation Number,Name,Head/Principal Name,Status,Affiliated up to,Address,Phone No.,Email,Website
330004 ,ST. MICHAEL'S HIGH SCHOOL,Fr Armstrong Edison SJ,Senior Secondary,31/03/2023,"DIGHA GHAT P.O. PATNA BIHAR ,800011","0612 ,2262450",edisonarmstrong@gmail.com,ww.stmichaelspatna.edu.in
3430248,ST. MICHAEL'S SCHOOL,POONAM SINGH,Senior Secondary,31/03/2023,"VILLAGE-JAJPUR PO-SOPAROM DIST.-RANCHI STATE-JHARKHAND ,835303","0651 ,6454439",principal@stmichaelsranchi.com,
530210 ,ST. MICHAEL'S SENIOR SECONDARY SCHOOL,JOSE STEPHEN,Senior Secondary,31/03/2025,"SHIVPURI, DISTT GURGOAN, HARYANA ,122001","0124 ,4241114",Josestev@gmail.com,http://www.sfsdlf.com
2130089,ST. MICHAELS CONVENT SCHOOL,THOMAS JOSEPH,Senior Secondary,31/03/2017,"I.T.I. LTD SANCHAR VIHAR MANAKPUR GONDA UTTAR PRADESH ,271302","5265 ,230124",principalsmcs@gmail.com,
1130286,ST. MICHAELS ENGLISH SCHOOL,MRS. PRANALI  VIKAS  KOLHEKAR,Secondary School,31/03/2024,"NAGINABAGH, MISSION COMPOUND, RAM NAGAR, CHANDRAPUR ,442401","7172 ,07172-257769",stmichaelcbseschool@gmail.com,http://www.stmichaelcbseschool.in
931063 ,ST. MICHAELS PUBLIC SCHOOL,P M MANI,Secondary School,31/03/2026,"THIRUMARAYOOR, VELIYANAD P.O. ARAKKUNNAM, ERNAKULAM, ,682319","0484 ,2747650",nsmprincipal@gmail.com,
1030395,ST. MICHAELS SCHOOL,MR. FR.LAWRENCE DSOUZA,Senior Secondary,31/03/2024,"KEERATHPURA ROAD, BHIND ,477001","7534 ,07534-240677,",stmichaelbhind@gmail.com,http://www.stmichaelbhind.org
1030085,ST. RAPHAEL'S HIGHER SECONDARY SCHOOL,Sister Preethi Thomas,Senior Secondary,31/03/2025,"15 OLD SEHORE ROAD P.BOX NO 614 INDORE MADHYA PRADESH ,452001","0731 ,2702611",preethissps@gmail.com,
1031135,ST. RAPHAELS ACADEMY,MISS SR. PHILO GEORGE,Secondary School,31/03/2023,"ST. RAPHAELS ACADEMY, BICHOLI MARDANA, BEDIA ROAD, INDORE 452016 (M.P.) ,452016",",9406946991",strabicho@yahoo.com,http://www.straphaelcoedschool.org
3430271,ST.MICHAEL ANGLO-INDIAN SCHOOL,MR. BIJU KAVUNKAL,Senior Secondary,31/03/2023,"MOHANPUR,MOHANPUR(P O)MAHAGAMA,GODDA. ,814154","91 ,08757459915",st.michaelangloindianschool@gmail.com,www.stmais.in
3330219,ST.MICHAELS HIGHER SECONDARY SCHOOL,TOMY MATHEW,Senior Secondary,31/03/2024,"GOVINDPUR, KANKER DT. C.G 494334 ,494334","7868 ,222023",tvaliyan@gmail.com,
1030456,ST.RAPHAEL CO-ED SCHOOL,JANCY,Senior Secondary,31/03/2022,"86/2 JATKHEDI, MISROD, BHOPAL 462026, BHOAL, MP ,462026","0755 ,2970690",jankanatt@yahoo.com,http://www.xyz.com
931304 ,ST.RAPHAELS PUBLIC SCHOOL KALLUR,Mr.Fr.Shaju  Varghese C.V.,Secondary School,31/03/2022,"ST.RAPHAELS PUBLIC SCHOOL, KALLUR P.O., THRISSUR,680317 ,680317",",0480 2767400",straphaelspublicschool@gmail.com,
2131977,SUNBEAM SCHOOL,Shikha Tripathi,Senior Secondary,31/03/2025,"SH-15,RAEBARELI ROAD,NEAR RAILWAY CROSSING FAIZABAD ,224001","5278 ,248880",principal@sunbeamfaizabad.edu.in,http://www.sunbeamfaizabad.in
2130241,SWAMI JANKI SARAN PUBLIC SCHOOL,BEENA TIWARI,Senior Secondary,31/03/2023,"KUTCHEHRI ROAD RAE BARELI UTTAR PRADESH ,229001","0535 ,2203843",beena.tiwari1@gmail.com,http://www.auroville.org
1630725,TAGORE MODERN SCHOOL,MR. SANDEEP KUMAR,Senior Secondary,31/03/2024,"NEAR KUTBA GTAE, RAIKOT DISTT.(LUDHIANA) ,141109","1624 ,01624264499",tmscbse@gmail.com,tagoremodernschoolraikot.org
2131986,THE CITY SCHOOL,POONAM KUMARI SINGH,Senior Secondary,31/03/2025,"S-6, J-BLOCK, SOUTH CITY, RAEBARELI ROAD ,226025","0522 ,7860022405",poonamkmr382@gmail.com,http://www.thecityschoollko.com
6630053,THE IDEAL ENGLISH SCHOOL,Prasanna Bhaskar ,Senior Secondary,31/03/2024,"P O BOX 10300 RAS AL KHAIMAH UAE ,276207","07 ,2282500",prasannabhaskar@ymail.com,
6630090,THE INDIAN INTERNATIONAL SCHOOL,GEETHA MURALI,Secondary School,31/03/2020,"P.O. BOX 106, DUBAI, UAE ,000106","971 ,3423909",principal.iis@ihsdubai.org,http://www.ihsdxb.com/dso
2131222,THE MILLENNIUM SCHOOL,MANJULA GOSWAMI,Senior Secondary,31/03/2026,"S-10, BLOCK-F , SOUTH CITY , RAEBAREILLY ROAD , LUCKNOW ,226025","91 ,8188850333",principal.lucknow@themillenniumschools.com,http://www.themillenniumschools.com
6630060,THE MODEL SCHOOL,ABDUL KADER V V,Senior Secondary,31/03/2024,"PO BOX 25723, MUSAFFAH ABU DHAVI, UAE ,","971 ,25527200",kadervv@hotmail.com,
1130958,TOMOAE ENGLISH SCHOOL,MR. AJIT TULSHIDAS JAWANJAL,Secondary School,31/03/2024,"TOMOAE ENGLISH SCHOOL JAMBHRUN, AT JAMBHRUN, TQ. DIST. BULDANA ,443001",",07262242780",tomoae.school2018@gmail.com,tomoaeenglishschool.com
1130265,YASHSHREE ACADEMY,MR. CYRIL AUGUSTINE PANDIT,Senior Secondary,31/03/2023,"SCHOOL: BABAESTATE,VILLAGE DHANGARWADI,AHMEDNAGAR-AURANGABAD ROAD,AHMEDNAGAR. ,414601","0241 ,0241-2744055,",yashtan11@hotmail.com,http://www.yashedu.org
